FID,StopNo,RTIstop,BSID,STPNAM,Lat,Long,wkdyons,wkdyoffs,satons,satoffs,sunons,sunoffs,allons,alloffs,Combined,Rank
54,396732,60412,412,SANTA CLARA & 1ST,37.33637,-121.889995,936,"1,294.00",555,"1,006.00",425,740,"1,916.00","3,040.00","6,390.00",1
99,486605,64580,4580,EASTRIDGE TRANSIT CENTER,37.329218,-121.81213,82,72,0,0,0,0,82,72,"5,221.00",2
49,387915,65336,5336,GREAT MALL / MAIN TRANSIT CENTER,37.41389,-121.900157,0,0,0,0,0,0,0,0,"4,409.00",3
82,446804,60789,789,STORY & KING,37.340497,-121.842469,364,219,170,94,238,139,772,452,"3,836.00",4
50,396706,60616,616,2ND & SANTA CLARA,37.335619,-121.888754,784,472,441,229,346,172,"1,571.00",873,"3,373.00",5
66,406808,60438,438,SANTA CLARA & 7TH,37.339379,-121.884111,541,536,287,207,171,161,999,904,"2,527.00",6
51,396708,60617,617,2ND & PASEO DE SAN ANTONIO,37.33371,-121.887303,571,146,248,64,249,58,"1,068.00",268,"2,346.00",7
94,467106,65045,5045,ALUM ROCK TRANSIT CENTER,37.357996,-121.83254,174,101,62,44,0,0,236,145,"2,215.00",8
79,437003,63026,3026,ALUM ROCK & KING,37.352952,-121.854932,125,255,81,181,81,98,287,534,"2,082.00",9
34,326619,61668,1668,VALLEY FAIR TRANSIT CENTER,37.32671,-121.947718,170,300,120,318,101,242,391,860,"1,951.00",10
92,466502,60948,948,TULLY & KING,37.322027,-121.826685,186,13,118,8,110,12,414,33,"1,847.00",11
4,147705,60500,500,EL CAMINO & SHOWERS,37.399738,-122.110473,290,531,176,341,143,257,609,"1,129.00","1,826.00",12
59,396814,60439,439,SANTA CLARA & 4TH,37.337545,-121.887951,221,271,162,193,180,209,563,673,"1,764.00",13
48,387006,60021,21,1ST & MISSION,37.351479,-121.902224,280,529,222,268,251,266,753,"1,063.00","1,650.00",14
86,455902,61716,1716,MONTEREY & SENTER,37.278648,-121.835631,413,378,266,235,203,196,882,809,"1,596.00",15
11,216602,62162,2162,STELLING & STEVENS CREEK (FS),37.323878,-122.041329,331,10,73,0,51,0,455,10,"1,546.00",16
83,447106,63067,3067,ALUM ROCK & JACKSON,37.3588,-121.843144,371,80,194,65,147,29,712,174,"1,428.00",17
23,257003,60480,480,EL CAMINO & WOLFE,37.353774,-122.014977,215,203,134,162,105,113,454,478,"1,283.00",18
63,406713,62942,2942,SAN FERNANDO & 5TH,37.336183,-121.885078,594,387,137,80,142,103,873,570,"1,246.00",19
77,436705,60761,761,STORY & MCLAUGHLIN,37.332879,-121.853181,191,118,133,75,145,57,469,250,"1,226.00",20
8,167503,60494,494,EL CAMINO & CASTRO,37.386201,-122.08449,379,348,114,177,80,93,573,618,"1,225.00",21
13,216611,65637,5637,DE ANZA COLLEGE TRANSIT CENTER,37.322489,-122.044494,936,706,147,122,111,117,"1,194.00",945,"1,194.00",22
62,406512,60754,754,KEYES & 1ST,37.320093,-121.877318,271,178,199,84,172,66,642,328,"1,146.00",23
87,455903,63591,3591,SENTER & MONTEREY,37.278172,-121.834118,47,282,20,166,23,128,90,576,"1,037.00",24
38,357203,60008,8,SAN JOSE AIRPORT - TERMINAL A,37.368425,-121.927596,147,162,99,112,137,107,383,381,"1,021.00",25
17,237102,60368,368,EL CAMINO & REMINGTON,37.361014,-122.024322,352,271,275,222,231,165,858,658,"1,009.00",26
61,406504,63271,3271,1ST & GOODYEAR,37.320175,-121.877894,345,202,175,113,141,107,661,422,981,27
72,426305,63202,3202,MONTEREY & TULLY,37.304085,-121.861436,269,197,173,137,202,172,644,506,973,28
41,366806,61662,1662,NAGLEE & THE ALAMEDA,37.337128,-121.920128,213,89,76,55,52,36,341,180,956,29
33,317006,60468,468,EL CAMINO & SCOTT,37.352513,-121.960508,244,216,126,154,122,117,492,487,955,30
97,477001,63600,3600,WHITE & STORY,37.356961,-121.819721,136,281,83,165,71,141,290,587,939,31
30,297006,60378,378,EL CAMINO & KIELY,37.352199,-121.976388,289,300,180,195,141,129,610,624,936,32
28,296604,60646,646,STEVENS CREEK & KIELY,37.323289,-121.975887,213,160,68,75,39,72,320,307,932,33
18,237212,60482,482,EL CAMINO & FAIR OAKS,37.362521,-122.025659,312,380,194,219,140,171,646,770,897,34
55,396735,62947,2947,SAN FERNANDO & 1ST,37.334536,-121.888922,272,571,72,180,83,216,427,967,891,35
91,457303,64036,4036,MCKEE & WHITE,37.374895,-121.83616,336,100,137,34,121,50,594,184,881,36
3,147702,60524,524,SHOWERS & LATHAM,37.400247,-122.109195,107,114,44,58,11,37,162,209,793,37
65,406806,60437,437,SANTA CLARA & 11TH,37.341155,-121.880371,204,154,146,124,115,88,465,366,791,38
36,346406,60815,815,BASCOM & FRUITDALE,37.311054,-121.931625,197,367,67,129,54,102,318,598,775,39
93,466904,63504,3504,JACKSON & STORY,37.347526,-121.833021,126,37,74,21,40,26,240,84,767,40
43,367209,60014,14,1ST & METRO @ LR STATION,37.36977,-121.915884,326,307,230,183,193,246,749,736,749,41
15,217304,60364,364,EL CAMINO & HOLLENBECK,37.370142,-122.04168,235,178,138,104,103,73,476,355,742,42
90,457102,63038,3038,ALUM ROCK & CAPITOL,37.362501,-121.834753,115,5,29,2,39,1,183,8,732,43
45,386613,60624,624,SAN CARLOS & BIRD,37.324916,-121.900166,195,88,98,66,91,49,384,203,724,44
26,276104,62233,2233,SARATOGA & CAMPBELL,37.292359,-121.991062,224,114,88,49,61,31,373,194,712,45
25,267004,60373,373,EL CAMINO & HALFORD,37.352122,-121.998574,316,224,209,188,172,157,697,569,697,46
78,436709,60791,791,STORY & LUCRETIA,37.329975,-121.858005,180,134,72,76,134,123,386,333,690,47
95,467205,63037,3037,WHITE & ALUM ROCK,37.366117,-121.828438,23,47,11,11,8,22,42,80,684,48
0,98103,60512,512,EL CAMINO & CALIFORNIA,37.425354,-122.146107,81,305,38,101,31,95,150,501,672,49
35,346405,60731,731,BASCOM & RENOVA,37.313783,-121.931975,222,101,52,35,47,23,321,159,663,50
53,396725,60619,619,SAN CARLOS & MARKET (MD),37.330071,-121.890349,324,32,116,22,92,12,532,66,650,51
19,237403,61338,1338,FRANCES & OLSON (SVLE TRANSIT CTR),37.377337,-122.031172,215,179,134,94,74,59,423,332,641,52
60,396838,60612,612,BASSETT TERMINAL,37.341959,-121.893892,393,227,153,79,89,49,635,355,635,53
52,396709,60608,608,1ST & PASEO DE SAN ANTONIO,37.332972,-121.888183,177,543,98,244,75,207,350,994,629,54
57,396741,64655,4655,SAN CARLOS & 2ND,37.331921,-121.886456,179,29,145,21,105,21,429,71,621,55
1,127202,65059,5059,FOOTHILL COLLEGE,37.362394,-122.126703,325,474,20,41,0,0,345,515,599,56
69,416908,60433,433,SANTA CLARA & 20TH,37.345072,-121.872122,298,102,172,67,129,46,599,215,599,57
2,137701,60501,501,EL CAMINO & SAN ANTONIO,37.401909,-122.114499,90,65,41,50,58,52,189,167,584,58
29,297004,60472,472,EL CAMINO & BOWERS,37.35252,-121.976618,315,325,149,166,117,121,581,612,581,59
85,447208,63511,3511,JACKSON & MCKEE,37.365777,-121.850466,112,151,58,90,36,49,206,290,581,60
